Frame;Bone;X;Y;Z;RotX;RotY;RotZ
39;左人指１;-0.000000;0.000000;0.000000;0.015433;-0.073729;-0.161485
39;右小指１;0.000000;0.000000;0.000000;-0.008443;-0.074852;0.153048
39;右親指１;0.000000;0.000000;0.000000;-0.149962;0.163500;-0.045464
39;右親指２;0.000000;0.000000;0.000000;-0.026741;0.025054;0.000000
39;右小指３;0.000000;0.000000;0.000000;0.000000;0.000000;0.107548
39;右人指１;0.000000;0.000000;0.000000;0.015433;0.073729;0.161485
61;左足;0.000000;0.000000;0.000000;0.000000;-0.018749;0.000000
61;下半身;0.000000;0.000000;0.000000;0.000000;0.999861;0.000000
61;右足;0.000000;0.000000;0.000000;0.000000;0.192540;0.000000
61;右肩;-0.000000;0.000000;0.000000;-0.000235;0.004772;-0.049216
61;上半身;0.000000;0.000000;0.000000;0.000000;0.999861;0.000000
61;頭;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
61;右つま先ＩＫ;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
61;左ひじ;0.000000;0.000000;0.000000;0.030563;0.054451;0.031219
61;上半身2;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
61;左つま先ＩＫ;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
61;右ひじ;-0.000000;0.000000;0.000000;0.030563;-0.054451;-0.031219
61;右足ＩＫ;1.100000;0.000000;-0.700000;0.000000;-0.981681;0.000000
61;左手首;0.000000;0.000000;0.000000;-0.005672;0.010315;-0.058444
61;左足ＩＫ;-1.400000;0.000000;1.000000;0.000000;0.999966;0.000000
61;首;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
61;左肩;0.000000;0.000000;0.000000;-0.000235;-0.004772;0.049216
61;右手首;-0.000000;0.000000;0.000000;-0.005672;-0.010315;0.058444
61;操作中心;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
61;右腕;-0.000000;0.000000;0.000000;-0.036957;0.021761;0.440782
61;センター;-0.300000;-0.200000;1.400000;0.000000;0.000000;0.000000
61;左腕;0.000000;0.000000;0.000000;-0.036957;-0.021761;-0.440782
127;左親指０;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000
127;左親指１;-0.000000;0.000000;0.000000;-0.149962;-0.163500;0.045464
127;右薬指１;0.000000;0.000000;0.000000;-0.009314;-0.036521;0.163049
127;右人指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
127;左中指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
127;右親指１;0.000000;0.000000;0.000000;-0.149962;0.163500;-0.045464
127;右中指３;0.000000;0.000000;0.000000;0.000000;0.000000;0.107548
127;左小指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
127;右中指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
127;右中指１;0.000000;0.000000;0.000000;0.007105;0.037014;0.161997
127;右親指２;0.000000;0.000000;0.000000;-0.026741;0.025054;0.000000
127;右小指１;0.000000;0.000000;0.000000;-0.008443;-0.074852;0.153048
127;左小指１;-0.000000;0.000000;0.000000;-0.008443;0.074852;-0.153048
127;左人指２;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.162569
127;右小指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
127;左中指２;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.162569
127;右薬指３;0.000000;0.000000;0.000000;0.000000;0.000000;0.107548
127;左薬指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
